,group1,group2,meandiff,p-adj,lower,upper,reject
0,Dunn,French,-41285.0144,0.5525,-116912.9668,34342.938,False
1,Dunn,LMU,-68507.0521,0.0948,-144135.0045,7120.9003,False
2,Dunn,QC,-20610.9187,0.9773,-119063.3708,77841.5334,False
3,Dunn,dQC,-152570.7161,0.0174,-286575.7363,-18565.696,True
4,French,LMU,-27222.0377,0.858,-103560.1273,49116.0519,False
5,French,QC,20674.0957,0.9775,-78324.9046,119673.096,False
6,French,dQC,-111285.7017,0.1529,-245692.7781,23121.3746,False
7,LMU,QC,47896.1334,0.6628,-51102.8669,146895.1337,False
8,LMU,dQC,-84063.664,0.4144,-218470.7404,50343.4123,False
9,QC,dQC,-131959.7974,0.1057,-280413.697,16494.1021,False
